group,event_count,raw_visible_bytes_total,allocated_fresh_tokens_total,median_event_bytes,p90_event_bytes,median_reuse_count,p90_reuse_count,context_exposure_byte_calls_total,context_exposure_fresh_token_calls_total,tool_answerability_counts
"{""category"": ""FILE_READ_OUTPUT"", ""safe_command_class"": ""file_read""}",7481,47349054,19403503.777,4025,13893,31,89,1746413246,784341710.056,"{""BOUNDED_SUMMARY"": 7481}"
"{""category"": ""CODE_WRITE"", ""safe_command_class"": ""none""}",2936,27147523,9418358.685,5805,23637,44,99,1378950439,418075186.821,"{""NOT_TOOL_ANSWERABLE"": 2936}"
"{""category"": ""REASONING_OR_INSTRUCTIONS"", ""safe_command_class"": ""none""}",31820,15105969,42640769.531,256,1239,42,99,700619087,2018586031.09,"{""NOT_TOOL_ANSWERABLE"": 31820}"
"{""category"": ""SEARCH_OUTPUT"", ""safe_command_class"": ""search""}",2203,20269880,5820090.348,1476,40095,27,88,668631181,247009484.703,"{""BOUNDED_SUMMARY"": 2203}"
"{""category"": ""STATE_DISCOVERY"", ""safe_command_class"": ""state_discovery""}",3790,15876852,7398093.902,776,9974,38,97,561616739,292750864.603,"{""BOUNDED_SUMMARY"": 3790}"
"{""category"": ""OTHER"", ""safe_command_class"": ""other_command""}",4613,10230006,6788642.891,532,5184,42,98,464236503,323362551.632,"{""NOT_TOOL_ANSWERABLE"": 4613}"
"{""category"": ""PYTHON_OUTPUT"", ""safe_command_class"": ""python""}",2633,5014929,5215140.308,756,3332,39,97,219543072,255460310.549,"{""BOUNDED_SUMMARY"": 2633}"
"{""category"": ""TOOL_INVOCATION"", ""safe_command_class"": ""none""}",29152,3590557,9506241.311,125,131,38,97,168430100,462707519.24,"{""NOT_TOOL_ANSWERABLE"": 29152}"
"{""category"": ""OTHER"", ""safe_command_class"": ""none""}",5495,1988540,1121777.444,105,266,47,108,89474358,56637197.136,"{""NOT_TOOL_ANSWERABLE"": 5495}"
"{""category"": ""TEST_OUTPUT"", ""safe_command_class"": ""test""}",1520,2020209,1343632.946,174,1249,40,102,70655702,58677593.5,"{""BOUNDED_SUMMARY"": 1520}"
"{""category"": ""BUILD_OUTPUT"", ""safe_command_class"": ""package_build""}",766,1176213,972964.818,633,2341,42,89,52792256,43809457.486,"{""BOUNDED_SUMMARY"": 766}"
"{""category"": ""NETWORK_FETCH_OUTPUT"", ""safe_command_class"": ""network_fetch""}",477,1227627,842723.221,496,3794,42,104,43901470,37921768.544,"{""NOT_TOOL_ANSWERABLE"": 477}"
"{""category"": ""GIT_OUTPUT"", ""safe_command_class"": ""git""}",171,291785,163356.192,456,5156,55,119,17221622,9688328.952,"{""BOUNDED_SUMMARY"": 171}"
"{""category"": ""CONTEXT_COMPACTION"", ""safe_command_class"": ""none""}",676,31197,78024.907,29,75,3,100,633962,7696569.519,"{""NOT_TOOL_ANSWERABLE"": 676}"
"{""category"": ""USER_INSTRUCTION"", ""safe_command_class"": ""none""}",1763,3526,42281.701,2,2,37,95,162374,1935640.325,"{""NOT_TOOL_ANSWERABLE"": 1763}"
